filename E_MC #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 27000.0 34 34 34 34 34 34 34 34 34 34 
g_300.txt 27000.0 6 6 6 6 6 6 6 6 6 6 
g_350.txt 27000.0 49 49 49 49 49 49 49 49 49 49 
g_400.txt 27000.0 162 162 162 162 162 162 162 162 162 162 
g_450.txt 27000.0 272 272 272 272 272 272 272 272 272 272 
g_475.txt 27000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 27000.0 323 323 323 323 323 323 323 323 323 323 
g_250.txt 54000.0 33 33 33 33 33 33 33 33 33 33 
g_300.txt 54000.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 54000.0 48 48 48 48 48 48 48 48 48 48 
g_400.txt 54000.0 161 161 161 161 161 161 161 161 161 161 
g_450.txt 54000.0 272 272 272 272 272 272 272 272 272 272 
g_475.txt 54000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 54000.0 323 323 323 323 323 323 323 323 323 323 
g_250.txt 108000.0 33 33 33 33 33 33 33 33 33 33 
g_300.txt 108000.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 108000.0 48 48 48 48 48 48 48 48 48 48 
g_400.txt 108000.0 162 162 162 162 162 162 162 162 162 162 
g_450.txt 108000.0 272 272 272 272 272 272 272 272 272 272 
g_475.txt 108000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 108000.0 323 323 323 323 323 323 323 323 323 323 
g_250.txt 216000.0 33 33 33 33 33 33 33 33 33 33 
g_300.txt 216000.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 216000.0 48 48 48 48 48 48 48 48 48 48 
g_400.txt 216000.0 162 162 162 162 162 162 162 162 162 162 
g_450.txt 216000.0 272 272 272 272 272 272 272 272 272 272 
g_475.txt 216000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 216000.0 323 323 323 323 323 323 323 323 323 323 
g_250.txt 432000.0 33 33 33 33 33 33 33 33 33 33 
g_300.txt 432000.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 432000.0 48 48 48 48 48 48 48 48 48 48 
g_400.txt 432000.0 162 162 162 162 162 162 162 162 162 162 
g_450.txt 432000.0 272 272 272 272 272 272 272 272 272 272 
g_475.txt 432000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 432000.0 323 323 323 323 323 323 323 323 323 323 
g_250.txt 560000.0 33 33 33 33 33 33 33 33 33 33 
g_300.txt 560000.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 560000.0 48 48 48 48 48 48 48 48 48 48 
g_400.txt 560000.0 162 162 162 162 162 162 162 162 162 162 
g_450.txt 560000.0 272 272 272 272 272 272 272 272 272 272 
g_475.txt 560000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 560000.0 323 323 323 323 323 323 323 323 323 323 
