filename U E #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 5.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 27000.0 7 7 7 7 7 7 7 7 7 7 
g_160.txt 5.0 27000.0 11 11 11 11 11 11 11 11 11 11 
g_175.txt 5.0 27000.0 39 39 39 39 39 39 39 39 39 39 
g_190.txt 5.0 27000.0 41 41 41 41 41 41 41 41 41 41 
g_200.txt 5.0 27000.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 5.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 54000.0 7 7 7 7 7 7 7 7 7 7 
g_160.txt 5.0 54000.0 11 11 11 11 11 11 11 11 11 11 
g_175.txt 5.0 54000.0 39 39 39 39 39 39 39 39 39 39 
g_190.txt 5.0 54000.0 41 41 41 41 41 41 41 41 41 41 
g_200.txt 5.0 54000.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 5.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 108000.0 7 7 7 7 7 7 7 7 7 7 
g_160.txt 5.0 108000.0 11 11 11 11 11 11 11 11 11 11 
g_175.txt 5.0 108000.0 39 39 39 39 39 39 39 39 39 39 
g_190.txt 5.0 108000.0 41 41 41 41 41 41 41 41 41 41 
g_200.txt 5.0 108000.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 5.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 216000.0 7 7 7 7 7 7 7 7 7 7 
g_160.txt 5.0 216000.0 11 11 11 11 11 11 11 11 11 11 
g_175.txt 5.0 216000.0 39 39 39 39 39 39 39 39 39 39 
g_190.txt 5.0 216000.0 41 41 41 41 41 41 41 41 41 41 
g_200.txt 5.0 216000.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 5.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 432000.0 7 7 7 7 7 7 7 7 7 7 
g_160.txt 5.0 432000.0 11 11 11 11 11 11 11 11 11 11 
g_175.txt 5.0 432000.0 39 39 39 39 39 39 39 39 39 39 
g_190.txt 5.0 432000.0 41 41 41 41 41 41 41 41 41 41 
g_200.txt 5.0 432000.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 5.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 560000.0 7 7 7 7 7 7 7 7 7 7 
g_160.txt 5.0 560000.0 11 11 11 11 11 11 11 11 11 11 
g_175.txt 5.0 560000.0 39 39 39 39 39 39 39 39 39 39 
g_190.txt 5.0 560000.0 41 41 41 41 41 41 41 41 41 41 
g_200.txt 5.0 560000.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 10.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 10.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 27000.0 21 21 21 21 21 21 21 21 21 21 
g_190.txt 10.0 27000.0 27 27 27 27 27 27 27 27 27 27 
g_200.txt 10.0 27000.0 29 29 29 29 29 29 29 29 29 29 
g_125.txt 10.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 10.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 54000.0 20 20 20 20 20 20 20 20 20 20 
g_190.txt 10.0 54000.0 26 26 26 26 26 26 26 26 26 26 
g_200.txt 10.0 54000.0 28 28 28 28 28 28 28 28 28 28 
g_125.txt 10.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 10.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 108000.0 20 20 20 20 20 20 20 20 20 20 
g_190.txt 10.0 108000.0 26 26 26 26 26 26 26 26 26 26 
g_200.txt 10.0 108000.0 28 28 28 28 28 28 28 28 28 28 
g_125.txt 10.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 10.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 216000.0 20 20 20 20 20 20 20 20 20 20 
g_190.txt 10.0 216000.0 26 26 26 26 26 26 26 26 26 26 
g_200.txt 10.0 216000.0 27 27 27 27 27 27 27 27 27 27 
g_125.txt 10.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 10.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 432000.0 19 19 19 19 19 19 19 19 19 19 
g_190.txt 10.0 432000.0 25 25 25 25 25 25 25 25 25 25 
g_200.txt 10.0 432000.0 27 27 27 27 27 27 27 27 27 27 
g_125.txt 10.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 10.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 560000.0 19 19 19 19 19 19 19 19 19 19 
g_190.txt 10.0 560000.0 25 25 25 25 25 25 25 25 25 25 
g_200.txt 10.0 560000.0 27 27 27 27 27 27 27 27 27 27 
g_125.txt 15.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 15.0 27000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 27000.0 2 2 2 2 2 2 2 2 2 2 
g_190.txt 15.0 27000.0 6 6 6 6 6 6 6 6 6 6 
g_200.txt 15.0 27000.0 8 8 8 8 8 8 8 8 8 8 
g_125.txt 15.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 15.0 54000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 54000.0 1 1 1 1 1 1 1 1 1 1 
g_190.txt 15.0 54000.0 5 5 5 5 5 5 5 5 5 5 
g_200.txt 15.0 54000.0 8 8 8 8 8 8 8 8 8 8 
g_125.txt 15.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 15.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 108000.0 0 0 0 0 0 0 0 0 0 0 
g_190.txt 15.0 108000.0 5 5 5 5 5 5 5 5 5 5 
g_200.txt 15.0 108000.0 7 7 7 7 7 7 7 7 7 7 
g_125.txt 15.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 15.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 216000.0 0 0 0 0 0 0 0 0 0 0 
g_190.txt 15.0 216000.0 4 4 4 4 4 4 4 4 4 4 
g_200.txt 15.0 216000.0 7 7 7 7 7 7 7 7 7 7 
g_125.txt 15.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 15.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 432000.0 0 0 0 0 0 0 0 0 0 0 
g_190.txt 15.0 432000.0 4 4 4 4 4 4 4 4 4 4 
g_200.txt 15.0 432000.0 7 7 7 7 7 7 7 7 7 7 
g_125.txt 15.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 15.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 560000.0 0 0 0 0 0 0 0 0 0 0 
g_190.txt 15.0 560000.0 4 4 4 4 4 4 4 4 4 4 
