filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n20_01.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n25_02.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n25_02.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n25_02.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n25_02.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n25_02.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n25_03.txt 5.0 4 4 4 4 4 4 4 4 4 4 
n25_03.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n25_03.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n25_03.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n25_03.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 5.0 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 10.0 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 15.0 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 20.0 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n25_05.txt 5.0 0 0 0 0 0 0 0 0 0 0 
