filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 2.0 3 3 3 3 3 3 3 3 3 3 
g_160.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 2.0 13 13 13 13 13 13 13 13 13 13 
g_190.txt 2.0 31 31 31 31 31 31 31 31 31 31 
g_200.txt 2.0 22 22 22 22 22 22 22 22 22 22 
g_125.txt 5.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 4 4 4 4 4 4 4 4 4 4 
g_160.txt 5.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 5.0 12 12 12 12 12 12 12 12 12 12 
g_190.txt 5.0 33 33 33 33 33 33 33 33 33 33 
g_200.txt 5.0 22 22 22 22 22 22 22 22 22 22 
g_125.txt 7.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 7.0 2 2 2 2 2 2 2 2 2 2 
g_160.txt 7.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 7.0 13 13 13 13 13 13 13 13 13 13 
g_190.txt 7.0 34 34 34 34 34 34 34 34 34 34 
g_200.txt 7.0 25 25 25 25 25 25 25 25 25 25 
g_125.txt 10.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 2 2 2 2 2 2 2 2 2 2 
g_160.txt 10.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 10.0 11 11 11 11 11 11 11 11 11 11 
g_190.txt 10.0 33 33 33 33 33 33 33 33 33 33 
g_200.txt 10.0 23 23 23 23 23 23 23 23 23 23 
g_125.txt 15.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 3 3 3 3 3 3 3 3 3 3 
g_160.txt 15.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 15.0 11 11 11 11 11 11 11 11 11 11 
g_190.txt 15.0 36 36 36 36 36 36 36 36 36 36 
g_200.txt 15.0 22 22 22 22 22 22 22 22 22 22 
g_125.txt 20.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 20.0 3 3 3 3 3 3 3 3 3 3 
g_160.txt 20.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 20.0 12 12 12 12 12 12 12 12 12 12 
g_190.txt 20.0 33 33 33 33 33 33 33 33 33 33 
g_200.txt 20.0 22 22 22 22 22 22 22 22 22 22 
